start_time,end_time,sleep_type,date,time_slot,duration
04:48:00,05:01:00,0.0,2024-12-31,03:00-06:00,13.0
05:01:00,05:02:00,3.0,2024-12-31,03:00-06:00,1.0
05:02:00,05:41:00,1.0,2024-12-31,03:00-06:00,39.0
05:41:00,05:43:00,3.0,2024-12-31,03:00-06:00,2.0
05:43:00,05:50:00,1.0,2024-12-31,03:00-06:00,7.0
05:50:00,06:03:00,2.0,2024-12-31,03:00-06:00,10.0
05:50:00,06:03:00,2.0,2024-12-31,06:00-09:00,3.0
06:03:00,06:04:00,3.0,2024-12-31,06:00-09:00,1.0
06:04:00,06:46:00,1.0,2024-12-31,06:00-09:00,42.0
06:46:00,07:13:00,0.0,2024-12-31,06:00-09:00,27.0
07:13:00,07:22:00,1.0,2024-12-31,06:00-09:00,9.0
07:22:00,07:57:00,2.0,2024-12-31,06:00-09:00,35.0
07:57:00,08:07:00,1.0,2024-12-31,06:00-09:00,10.0
21:44:00,21:55:00,1.0,2025-01-02,21:00-00:00,11.0
21:55:00,21:57:00,3.0,2025-01-02,21:00-00:00,2.0
21:57:00,22:23:00,1.0,2025-01-02,21:00-00:00,26.0
22:23:00,22:31:00,0.0,2025-01-02,21:00-00:00,8.0
22:31:00,22:35:00,3.0,2025-01-02,21:00-00:00,4.0
22:35:00,22:42:00,1.0,2025-01-02,21:00-00:00,7.0
22:42:00,22:56:00,0.0,2025-01-02,21:00-00:00,14.0
22:56:00,22:57:00,3.0,2025-01-02,21:00-00:00,1.0
22:57:00,23:57:00,1.0,2025-01-02,21:00-00:00,60.0
23:57:00,23:59:00,3.0,2025-01-02,21:00-00:00,2.0
23:59:00,00:19:00,1.0,2025-01-02,,
00:19:00,00:55:00,0.0,2025-01-02,00:00-03:00,36.0
00:55:00,02:02:00,1.0,2025-01-02,00:00-03:00,67.0
02:02:00,02:12:00,0.0,2025-01-02,00:00-03:00,10.0
02:12:00,02:13:00,3.0,2025-01-02,00:00-03:00,1.0
02:13:00,03:28:00,1.0,2025-01-02,00:00-03:00,47.0
02:13:00,03:28:00,1.0,2025-01-02,03:00-06:00,28.0
03:28:00,03:43:00,2.0,2025-01-02,03:00-06:00,15.0
03:43:00,04:05:00,1.0,2025-01-02,03:00-06:00,22.0
04:05:00,04:21:00,2.0,2025-01-02,03:00-06:00,16.0
04:21:00,04:46:00,1.0,2025-01-02,03:00-06:00,25.0
04:46:00,04:55:00,0.0,2025-01-02,03:00-06:00,9.0
04:55:00,05:06:00,1.0,2025-01-02,03:00-06:00,11.0
05:06:00,05:09:00,3.0,2025-01-02,03:00-06:00,3.0
05:09:00,05:19:00,1.0,2025-01-02,03:00-06:00,10.0
05:19:00,05:44:00,2.0,2025-01-02,03:00-06:00,25.0
05:44:00,06:17:00,1.0,2025-01-02,03:00-06:00,16.0
05:44:00,06:17:00,1.0,2025-01-02,06:00-09:00,17.0
06:17:00,06:26:00,2.0,2025-01-02,06:00-09:00,9.0
06:26:00,06:32:00,1.0,2025-01-02,06:00-09:00,6.0
06:32:00,06:33:00,3.0,2025-01-02,06:00-09:00,1.0
06:33:00,07:18:47,1.0,2025-01-02,06:00-09:00,45.78333333333333
23:00:00,23:07:00,1.0,2025-01-03,21:00-00:00,7.0
23:07:00,23:46:00,0.0,2025-01-03,21:00-00:00,39.0
23:46:00,23:53:00,1.0,2025-01-03,21:00-00:00,7.0
23:53:00,23:54:00,3.0,2025-01-03,21:00-00:00,1.0
23:54:00,00:29:00,1.0,2025-01-03,,
00:29:00,00:30:00,3.0,2025-01-03,00:00-03:00,1.0
00:30:00,00:44:00,1.0,2025-01-03,00:00-03:00,14.0
00:44:00,00:54:00,3.0,2025-01-03,00:00-03:00,10.0
00:54:00,01:04:00,1.0,2025-01-03,00:00-03:00,10.0
01:04:00,01:22:00,0.0,2025-01-03,00:00-03:00,18.0
01:22:00,01:44:00,1.0,2025-01-03,00:00-03:00,22.0
01:44:00,01:49:00,0.0,2025-01-03,00:00-03:00,5.0
01:49:00,02:08:00,1.0,2025-01-03,00:00-03:00,19.0
02:08:00,02:10:00,3.0,2025-01-03,00:00-03:00,2.0
02:10:00,02:13:00,1.0,2025-01-03,00:00-03:00,3.0
02:13:00,02:15:00,3.0,2025-01-03,00:00-03:00,2.0
02:15:00,02:16:00,1.0,2025-01-03,00:00-03:00,1.0
02:16:00,02:23:00,2.0,2025-01-03,00:00-03:00,7.0
02:23:00,03:03:00,1.0,2025-01-03,00:00-03:00,37.0
02:23:00,03:03:00,1.0,2025-01-03,03:00-06:00,3.0
03:03:00,03:23:00,0.0,2025-01-03,03:00-06:00,20.0
03:23:00,03:43:00,1.0,2025-01-03,03:00-06:00,20.0
03:43:00,03:44:00,3.0,2025-01-03,03:00-06:00,1.0
03:44:00,04:01:00,1.0,2025-01-03,03:00-06:00,17.0
04:01:00,04:22:00,2.0,2025-01-03,03:00-06:00,21.0
04:22:00,04:30:00,3.0,2025-01-03,03:00-06:00,8.0
04:30:00,04:43:00,1.0,2025-01-03,03:00-06:00,13.0
04:43:00,04:58:00,2.0,2025-01-03,03:00-06:00,15.0
04:58:00,05:09:00,1.0,2025-01-03,03:00-06:00,11.0
05:09:00,05:17:00,2.0,2025-01-03,03:00-06:00,8.0
05:17:00,05:50:00,1.0,2025-01-03,03:00-06:00,33.0
05:50:00,05:52:00,3.0,2025-01-03,03:00-06:00,2.0
05:52:00,05:58:00,1.0,2025-01-03,03:00-06:00,6.0
05:58:00,06:21:00,2.0,2025-01-03,03:00-06:00,2.0
05:58:00,06:21:00,2.0,2025-01-03,06:00-09:00,21.0
06:21:00,06:22:00,3.0,2025-01-03,06:00-09:00,1.0
06:22:00,06:28:00,1.0,2025-01-03,06:00-09:00,6.0
06:28:00,06:36:53,2.0,2025-01-03,06:00-09:00,8.883333333333333
